sha,date,subject,lane,notes
bdd8eef,2025-07-13,"Start debug ui + start convert to typescript",B-refactor-entangled,"architecture/migration change"
a0b3ff2,2025-07-16,"- **Refactor codebase for better maintainability:**   - Removed `GetRequiredElementById()` from `documentFunctions.ts`.   - Fixed inconsistent `locstack` references, replaced with `locStack` in various scripts.   - Simplified and updated `yourhome.JSON` structure into `yourhome.json` with streamlined action prompts.",B-refactor-entangled,"architecture/migration change"
b9ff2b9,2025-08-17,"**Refactor and modularize codebase for improved structure and logic:**",B-refactor-entangled,"architecture/migration change"
1ef5d21,2025-08-20,"Convert homescreen some pop-ups and settings from and to localstorage",B-refactor-entangled,""
33c3db6,2025-08-20,"- **Refactor and modularize companion settings:**   - Introduced `CompanionSettings` and `PersonSettings` interfaces for structured configuration.   - Migrated `BaseGirl` to `BaseCompanion` for better naming consistency and centralized settings.",B-refactor-entangled,"architecture/migration change"
4b69d91,2026-03-07,"Add TypeScript support and global declarations for legacy JavaScript integration",A-feature-or-fix,"likely user-visible behavior or runtime behavior"
699bbd6,2026-03-07,"Remove project.nuget.cache file from UserFlowTests directory",B-refactor-entangled,""
e121184,2026-03-08,"Refactor JSON handling and improve code structure",B-refactor-entangled,"architecture/migration change"
ad38ce6,2026-03-08,"Refactor game initialization and state management",B-refactor-entangled,"architecture/migration change"
00a39d9,2026-03-08,"Refactor popup dismissal handling in Selenium tests and add legacy bladder thresholds bridge",A-tests,"test coverage or harness change"
d421d01,2026-03-26,"Add pop-up functionality, settings management, validation, and bladder mechanics",A-feature-or-fix,"likely user-visible behavior or runtime behavior"
d3c9034,2026-03-26,"Refactor quotes handling: move quotes.ts into app bundle, expose module state to window, and update related scripts for compatibility",B-refactor-entangled,"architecture/migration change"
3ad7e40,2026-03-26,"Refactor module exports: migrate multiple script-style TS files into the app bundle, expose functions on window, and update related scripts for compatibility",B-refactor-entangled,"architecture/migration change"
2cc815a,2026-03-27,"Refactor: Enhance action handling and event delegation in quotes.ts",A-feature-or-fix,"likely user-visible behavior or runtime behavior"
fffc7ff,2026-03-29,"Refactor and modularize game state management",B-refactor-entangled,"architecture/migration change"
b06ad5f,2026-03-29,"Implement save/load system for game state with UI exposure and integration tests",A-tests,"test coverage or harness change"
b81d038,2026-03-29,"Refactor TypeScript files to improve type safety and consistency",B-refactor-entangled,"architecture/migration change"
7213a58,2026-03-29,"Refactor: Remove jQuery dependency and replace with native DOM methods; enhance type safety in backPackItems and other scripts",A-feature-or-fix,"likely user-visible behavior or runtime behavior"
48ae2f7,2026-03-30,"Add navigation smoke tests to validate game routing and UI rendering",A-tests,"test coverage or harness change"
607efac,2026-03-30,"Refactor: Move bladder thresholds to Person class; sync updates to legacy globals",B-refactor-entangled,"architecture/migration change"
ac28692,2026-03-30,"Fix crash in darts minigame and enhance drink handling logic; refactor related functions for clarity",A-feature-or-fix,"likely user-visible behavior or runtime behavior"
48477d4,2026-03-30,"Refactor backpack functionality and improve champagne handling",A-feature-or-fix,"likely user-visible behavior or runtime behavior"
e55c6f7,2026-03-30,"Refactor: Implement assertExists helper to enforce property existence; replace silent fallbacks with assertions in giveHer() and selectitem()",A-feature-or-fix,"likely user-visible behavior or runtime behavior"
05549af,2026-03-30,"Refactor: Enhance end-to-end tests for wet-herself and win states; streamline item selection logic and improve wildcards handling",A-tests,"test coverage or harness change"
e63bb09,2026-03-30,"Refactor: Update buyItem form to use template variables for item details; standardize bedroom location key",B-refactor-entangled,"architecture/migration change"
c90645f,2026-03-30,"Refactor: Implement gameState connection pattern to unify state management; absorb legacy variables and streamline global access",A-feature-or-fix,"likely user-visible behavior or runtime behavior"
c68de4b,2026-03-31,"Refactor: Absorb additional state variables into gameState; streamline time management and interaction flags",B-refactor-entangled,"architecture/migration change"
eed6664,2026-03-31,"Refactor: Absorb additional game state variables into GameState; streamline connections and auto-seeding for fuckHer and drive states",B-refactor-entangled,"architecture/migration change"
02b0f5d,2026-03-31,"Refactor: Absorb deep fields and legacy variables into GameState; address bridging limitations for module-scoped variables",B-refactor-entangled,"architecture/migration change"
b948e35,2026-03-31,"Refactor: Enhance bridge connection pattern in connectToGameState; implement forward and reverse bridges for shims and module variables to ensure live data synchronization",A-feature-or-fix,"likely user-visible behavior or runtime behavior"
3b6bb00,2026-03-31,"Refactor: Standardize bedroom location key to ""theBedroom""; remove workaround and update references across scripts",B-refactor-entangled,"architecture/migration change"
fcaecf8,2026-03-31,"Refactor: Integrate legacy player globals into Player object; synchronize state between legacy globals and Player model for consistent game initialization",B-refactor-entangled,"architecture/migration change"
9d9393f,2026-03-31,"Refactor bladder state management to use enum values",B-refactor-entangled,"architecture/migration change"
a7baac3,2026-04-08,"Refactor code structure for improved readability and maintainability",B-refactor-entangled,"architecture/migration change"
